model,term,estimate,ci_low,ci_high,p_value,n,r_squared,adj_r_squared,stability
prompt_trajectory_mixedlm,Intercept,2.8461538461538356,2.2874556652447846,3.4048520270628866,1.780781059856948e-23,144,,,standard
prompt_trajectory_mixedlm,group[T.B],-0.007327679132062616,-0.8295755991413373,0.8149202408772119,0.9860642697745587,144,,,standard
prompt_trajectory_mixedlm,group[T.C],1.0485829959514295,0.32352049282952366,1.7736454990733352,0.004589840062963138,144,,,standard
prompt_trajectory_mixedlm,C(assignment)[T.2],0.5547336283605385,-0.21149329891730162,1.3209605556383788,0.15590589437828456,144,,,standard
prompt_trajectory_mixedlm,C(assignment)[T.3],-0.4637052474438635,-1.2047874672384826,0.2773769723507556,0.22005714423893474,144,,,standard
prompt_trajectory_mixedlm,C(assignment)[T.4],0.15906509423321497,-0.5391913701197459,0.857321558586176,0.6552460989696296,144,,,standard
prompt_trajectory_mixedlm,group[T.B]:C(assignment)[T.2],-0.7049892106584462,-1.8108884886278638,0.40091006731097145,0.21150462603558673,144,,,standard
prompt_trajectory_mixedlm,group[T.C]:C(assignment)[T.2],-1.4263363105668745,-2.4639302505154603,-0.38874237061828887,0.007054104141712823,144,,,standard
prompt_trajectory_mixedlm,group[T.B]:C(assignment)[T.3],0.7331746028314103,-0.3096783641038514,1.776027569766672,0.16821974153666974,144,,,standard
prompt_trajectory_mixedlm,group[T.C]:C(assignment)[T.3],-0.12054416810961996,-1.111336300684332,0.870247964465092,0.8115259514223697,144,,,standard
prompt_trajectory_mixedlm,group[T.B]:C(assignment)[T.4],0.11040426115433148,-0.9048042493463204,1.1256127716549833,0.8312125157152845,144,,,standard
prompt_trajectory_mixedlm,group[T.C]:C(assignment)[T.4],-0.15513996976127048,-1.0811254980078853,0.7708455584853442,0.7426295673576363,144,,,standard
prompt_trajectory_mixedlm,Group Var,0.34292226224007516,-0.006673417434619799,0.6925179419147701,0.05453654912322342,144,,,standard
